feuille  : Redac | Auto-cor | Relecture | Fichier
		 :	     |  		|           |
Arme 	 :  OK   | 	OK		| non       | Objets
Armure 	 :  OK   | 	OK		| non       | Objets
Objet 	 :  OK   | 	OK		| non       | Objets
SpeObj   :  OK   | 	OK		| non       | Avantages
Ancetre  :  OK   | 	OK		| non       | Avantages
Avantage :  OK   | 	OK		| non       | Avantages
Desavan  :  OK   | 	OK		| non       | Avantages
GroupeAv :  OK   | 	OK		| non       | Avantages
Clan 	 :  OK   | 	OK		| non       | Ecoles
Famille  :  OK   | 	OK		| non       | Ecoles
Ecole 	 :  OK   | 	OK		| non       | Ecoles
EcoleAv  :  OK   | 	OK		| non       | Ecoles
VoieAlt  :  OK   | 	OK		| non       | Ecoles
Technik  :  OK   | 	OK		| non       | Ecoles
TechAv 	 :  OK   | 	OK		| non       | Ecoles
Conditio :  OK   | 	OK		| non       | Ecoles
Competc  :  OK   | 	OK		| non       | Competences
CptceGlb :  OK   | 	OK		| non       | Competences
Maitrise :  OK   | 	non		| non       | Competences
spéc 	 :  OK   | 	non		| non       | Competences
SsTypeGb :  OK   | 	non		| non       | Competences
Kata	 :  OK   | 	non		| non       | Pouvoirs
Kiho	 :  OK   | 	non		| non       | Pouvoirs
Sort	 :  OK   | 	non		| non       | Pouvoirs
Mahou	 :  OK   | 	non		| non       | Pouvoirs
Augment  :  Mq   | 	non		| non       | Pouvoirs
Pouvoir  :  OK   | 	non		| non       | Pouvoirs
Intrigue :  Mq   | 	non		| non       | MJ
OppHeroi :  OK   | 	non		| non       | MJ
PJ		 :  OK   | 	  NOT TO DO         | MJ
Creature :  OK   | 	non		| non       | MJ
Attaque	 :  OK   | 	non		| non       | MJ
PouvoirC :  OK   | 	non		| non       | MJ
